STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Hệ dân sự 7860113DS,14.0,,,
2.0,"Phòng cháy chữa cháy và cứu nạn, cứu hộ (Nữ - Phía Bắc) 7860113|11A00",25.92,,,
3.0,"Phòng cháy chữa cháy và cứu nạn, cứu hộ (Nam - Phía Bắc) 7860113|21A00",24.9,,,"Nam - phía Bắc - A00; Tiêu chí phụ: Điểm thi THPT Quốc gia và điểm học bạ: 22,14 điểm và điểm thi môn Toán: 8,4"
