STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Nghiệp vụ An ninh (Địa bàn 6 - Nữ) 7860100|13A01|6,27.04,,,
2.0,Nghiệp vụ An ninh (Địa bàn 7 - Nam) 7860100|23C03|7,26.21,,,
3.0,Nghiệp vụ An ninh (Địa bàn 7 - Nữ) 7860100|13A00|7,25.65,,,
4.0,Nghiệp vụ An ninh (Địa bàn 8 - Nam) 7860100|23A01|8,24.5,,,
5.0,Nghiệp vụ An ninh (Địa bàn 4 - Nam) 7860100|23C03|4,24.93,,,
6.0,Nghiệp vụ An ninh (Địa bàn 5 - Nam) 7860100|23A01|5,26.85,,,
7.0,Nghiệp vụ An ninh (Địa bàn 5 - Nữ) 7860100|13C03|5,28.26,,,
8.0,Nghiệp vụ An ninh (Địa bàn 6 - Nữ) 7860100|13D01|6,26.15,,,
9.0,Nghiệp vụ An ninh (Địa bàn 7 - Nữ) 7860100|13C03|7,27.35,,,
10.0,Nghiệp vụ An ninh (Địa bàn 8 - Nam) 7860100|23D01|8,24.76,,,
11.0,Nghiệp vụ An ninh (Địa bàn 4 - Nữ) 7860100|13A00|4,26.66,,,
12.0,Nghiệp vụ An ninh (Địa bàn 5 - Nam) 7860100|23D01|5,27.43,,,
13.0,Nghiệp vụ An ninh (Địa bàn 6 - Nam) 7860100|23A00|6,24.58,,,
14.0,Nghiệp vụ An ninh (Địa bàn 6 - Nam) 7860100|23C03|6,24.24,,,
15.0,Nghiệp vụ An ninh (Địa bàn 8 - Nam) 7860100|23C03|8,23.8,,,
16.0,Nghiệp vụ An ninh (Địa bàn 4 - Nam) 7860100|23D01|4,24.03,,,
17.0,Nghiệp vụ An ninh (Địa bàn 5 - Nam) 7860100|23C03|5,26.06,,,
18.0,Nghiệp vụ An ninh (Địa bàn 5 - Nữ) 7860100|13D01|5,27.66,,,
19.0,Nghiệp vụ An ninh (Địa bàn 6 - Nam) 7860100|23A01|6,25.5,,,
20.0,Nghiệp vụ An ninh (Địa bàn 6 - Nữ) 7860100|13C03|6,26.34,,,
21.0,Nghiệp vụ An ninh (Địa bàn 7 - Nữ) 7860100|13A01|7,27.26,,,
22.0,Nghiệp vụ An ninh (Địa bàn 7 - Nam) 7860100|23A01|7,26.48,,,
23.0,Nghiệp vụ An ninh (Địa bàn 7 - Nam) 7860100|23D01|7,25.94,,,
24.0,Nghiệp vụ An ninh (Địa bàn 8 - Nam) 7860100|23A00|8,23.61,,,
25.0,Nghiệp vụ An ninh (Địa bàn 4 - Nam) 7860100|23A01|4,25.39,,,
26.0,Nghiệp vụ An ninh (Địa bàn 4 - Nữ) 7860100|13C03|4,28.03,,,
27.0,Nghiệp vụ An ninh (Địa bàn 5 - Nam) 7860100|23A00|5,25.63,,,
28.0,Nghiệp vụ An ninh (Địa bàn 5 - Nữ) 7860100|13A01|5,27.21,,,
29.0,Nghiệp vụ An ninh (Địa bàn 6 - Nữ) 7860100|13A00|6,25.25,,,
30.0,Nghiệp vụ An ninh (Địa bàn 7 - Nữ) 7860100|13D01|7,27.48,,,
31.0,Nghiệp vụ An ninh (Địa bàn 4 - Nam) 7860100|23A00|4,24.51,,,
32.0,Nghiệp vụ An ninh (Địa bàn 4 - Nữ) 7860100|13A01|4,27.65,,,
33.0,Nghiệp vụ An ninh (Địa bàn 4 - Nữ) 7860100|13D01|4,27.75,,,
34.0,Nghiệp vụ An ninh (Địa bàn 5 - Nữ) 7860100|13A00|5,27.11,,,
35.0,Nghiệp vụ An ninh (Địa bàn 6 - Nam) 7860100|23D01|6,25.36,,,
36.0,Nghiệp vụ An ninh (Địa bàn 7 - Nam) 7860100|23A00|7,25.52,,,
