STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Nghiệp vụ An ninh (Địa bàn 8 - Nữ) 7860100|13D01|8,15.94,,,
2.0,Nghiệp vụ An ninh (Địa bàn 7 - Nữ) 7860100|13D01|7,22.84,,,
3.0,Nghiệp vụ An ninh (Địa bàn 6 - Nữ) 7860100|13D01|6,22.08,,,
4.0,Nghiệp vụ An ninh (Địa bàn 7 - Nam) 7860100|23A01|7,19.4,,,
5.0,Nghiệp vụ An ninh (Địa bàn 6 - Nam) 7860100|23A01|6,17.95,,,
6.0,Nghiệp vụ An ninh (Địa bàn 5 - Nữ) 7860100|13A01|5,23.7,,,
7.0,Nghiệp vụ An ninh (Địa bàn 4 - Nam) 7860100|23C03|4,19.61,,,
8.0,Nghiệp vụ An ninh (Địa bàn 4 - Nam) 7860100|23D01|4,19.61,,,
9.0,Nghiệp vụ An ninh (Địa bàn 8 - Nam) 7860100|23C03|8,19.71,,,
10.0,Nghiệp vụ An ninh (Địa bàn 8 - Nữ) 7860100|13A00|8,15.94,,,
11.0,Nghiệp vụ An ninh (Địa bàn 7 - Nam) 7860100|23C03|7,19.4,,,
12.0,Nghiệp vụ An ninh (Địa bàn 6 - Nam) 7860100|23C03|6,17.95,,,
13.0,Nghiệp vụ An ninh (Địa bàn 5 - Nữ) 7860100|13C03|5,23.7,,,
14.0,Nghiệp vụ An ninh (Địa bàn 5 - Nữ) 7860100|13D01|5,23.7,,,
15.0,Nghiệp vụ An ninh (Địa bàn 5 - Nam) 7860100|23A00|5,20.45,,,
16.0,Nghiệp vụ An ninh (Địa bàn 4 - Nữ) 7860100|13A00|4,22.8,,,
17.0,Nghiệp vụ An ninh (Địa bàn 8 - Nam) 7860100|23A00|8,19.71,,,
18.0,Nghiệp vụ An ninh (Địa bàn 7 - Nam) 7860100|23A00|7,19.4,,,
19.0,Nghiệp vụ An ninh (Địa bàn 7 - Nữ) 7860100|13A01|7,22.84,,,
20.0,Nghiệp vụ An ninh (Địa bàn 6 - Nữ) 7860100|13A01|6,22.08,,,
21.0,Nghiệp vụ An ninh (Địa bàn 5 - Nam) 7860100|23C03|5,20.45,,,
22.0,Nghiệp vụ An ninh (Địa bàn 4 - Nữ) 7860100|13D01|4,22.8,,,
23.0,Nghiệp vụ An ninh (Địa bàn 4 - Nam) 7860100|23A00|4,19.61,,,
24.0,Nghiệp vụ An ninh (Địa bàn 8 - Nam) 7860100|23D01|8,19.71,,,
25.0,Nghiệp vụ An ninh (Địa bàn 7 - Nam) 7860100|23D01|7,19.4,,,
26.0,Nghiệp vụ An ninh (Địa bàn 7 - Nữ) 7860100|13A00|7,22.84,,,
27.0,Nghiệp vụ An ninh (Địa bàn 6 - Nữ) 7860100|13A00|6,22.08,,,
28.0,Nghiệp vụ An ninh (Địa bàn 6 - Nam) 7860100|23D01|6,17.95,,,
29.0,Nghiệp vụ An ninh (Địa bàn 4 - Nữ) 7860100|13C03|4,22.8,,,
30.0,Nghiệp vụ An ninh (Địa bàn 5 - Nam) 7860100|23A01|5,20.45,,,
31.0,Nghiệp vụ An ninh (Địa bàn 4 - Nữ) 7860100|13A01|4,22.8,,,
32.0,Nghiệp vụ An ninh (Địa bàn 8 - Nữ) 7860100|13A01|8,15.94,,,
33.0,Nghiệp vụ An ninh (Địa bàn 8 - Nam) 7860100|23A01|8,19.71,,,
34.0,Nghiệp vụ An ninh (Địa bàn 8 - Nữ) 7860100|13C03|8,15.94,,,
35.0,Nghiệp vụ An ninh (Địa bàn 7 - Nữ) 7860100|13C03|7,22.84,,,
36.0,Nghiệp vụ An ninh (Địa bàn 6 - Nữ) 7860100|13C03|6,22.08,,,
37.0,Nghiệp vụ An ninh (Địa bàn 5 - Nam) 7860100|23D01|5,20.45,,,
38.0,Nghiệp vụ An ninh (Địa bàn 6 - Nam) 7860100|23A00|6,17.95,,,
39.0,Nghiệp vụ An ninh (Địa bàn 5 - Nữ) 7860100|13A00|5,23.7,,,
40.0,Nghiệp vụ An ninh (Địa bàn 4 - Nam) 7860100|23A01|4,19.61,,,
