STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Luật (Nữ - Phía Nam) 7380101|12C00,25.33,,,
2.0,Luật (Nam - Phía Nam) 7380101|22A01,20.15,,,
3.0,Luật (Nam - Phía Bắc) 7380101|21C00,26.18,,,
4.0,Luật (Nữ - Phía Bắc) 7380101|11C00,27.15,,,
5.0,Luật (Nam - Phía Nam) 7380101|22D01,22.3,,,
6.0,Luật (Nữ - Phía Bắc) 7380101|11A00,23.09,,,
7.0,Luật (Nữ - Phía Bắc) 7380101|11A01,23.14,,,
8.0,Luật (Nam - Phía Nam) 7380101|22C00,21.5,,,
9.0,Luật (Nam - Phía Bắc) 7380101|21D01,23.43,,,
10.0,Luật (Nữ - Phía Nam) 7380101|12A01,20.05,,,
11.0,Luật (Nữ - Phía Nam) 7380101|12D01,21.25,,,
12.0,Luật (Nam - Phía Nam) 7380101|22A00,20.1,,,
13.0,Luật (Nam - Phía Bắc) 7380101|21A01,23.28,,,
14.0,Luật (Nữ - Phía Nam) 7380101|12A00,20.35,,,
15.0,Luật (Nữ - Phía Bắc) 7380101|11D01,25.6,,,
16.0,Luật (Nam - Phía Bắc) 7380101|21A00,21.8,,,
