STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Chỉ huy kỹ thuật Công binh (Nam - phía Nam) 7860228|22,23.95,,,Toán >=8.2 Lý >=7.5
2.0,Chỉ huy kỹ thuật Công binh (Nam - phía Bắc) 7860228|21,23.7,,,
