STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Xây dựng lực lượng CAND (Phía Bắc - Nữ) 7310200|11C03,27.34,,,
2.0,Xây dựng lực lượng CAND (Phía Nam - Nam) 7310200|22A01,27.3,,,
3.0,Xây dựng lực lượng CAND (Phía Bắc - Nam) 7310200|21C03,20.81,,,
4.0,Xây dựng lực lượng CAND (Phía Nam - Nữ) 7310200|12A01,25.71,,,
5.0,Xây dựng lực lượng CAND (Phía Bắc - Nam) 7310200|21A01,21.4,,,
6.0,Xây dựng lực lượng CAND (Phía Bắc - Nam) 7310200|22C03,22.59,,,
7.0,Xây dựng lực lượng CAND (Phía Bắc - Nữ) 7310200|11A01,25.93,,,
8.0,Xây dựng lực lượng CAND (Phía Bắc - Nữ) 7310200|11D01,26.68,,,
9.0,Xây dựng lực lượng CAND (Phía Nam - Nữ) 7310200|12D01,26.06,,,
10.0,Xây dựng lực lượng CAND (Phía Bắc - Nam) 7310200|21D01,23.06,,,
11.0,Xây dựng lực lượng CAND (Phía Nam - Nữ) 7310200|12C03,26.35,,,
