STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Xây dựng lực lượng CAND (Phía Bắc - Nam) 7310200|21C00,28.39,,,
2.0,Xây dựng lực lượng CAND (Phía Bắc - Nữ) 7310200|11C03,28.29,,,
3.0,Xây dựng lực lượng CAND (Phía Nam - Nữ) 7310200|12D01,26.61,,,
4.0,Xây dựng lực lượng CAND (Phía Bắc - Nam) 7310200|21D01,25.01,,,
5.0,Xây dựng lực lượng CAND (Phía Nam - Nữ) 7310200|12A01,24.4,,,
6.0,Xây dựng lực lượng CAND (Phía Bắc - Nam) 7310200|21C03,27.88,,,
7.0,Xây dựng lực lượng CAND (Phía Bắc - Nữ) 7310200|11D01,28.45,,,
8.0,Xây dựng lực lượng CAND (Phía Bắc - Nam) 7310200|21A01,26.28,,,
9.0,Xây dựng lực lượng CAND (phía Nam - Nam) 7310200|22C00,27.19,,,
10.0,Xây dựng lực lượng CAND (phía Bắc - Nữ) 7310200|11C00,30.34,,,
11.0,Xây dựng lực lượng CAND (Phía Nam - Nữ) 7310200|12C03,27.54,,,
12.0,Xây dựng lực lượng CAND (Phía Nam - Nam) 7310200|22A01,28.29,,,
13.0,Xây dựng lực lượng CAND (Phía Bắc - Nữ) 7310200|11A01,27.89,,,
14.0,Xây dựng lực lượng CAND (phía Nam - Nữ) 7310200|12C00,29.55,,,
