STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Xây dựng lực lượng CAND (Phía Nam - Nữ) 7310200|12C03,23.21,,,
2.0,Xây dựng lực lượng CAND (Phía Bắc - Nam) 7310200|22C03,22.24,,,
3.0,Xây dựng lực lượng CAND (Phía Bắc - Nam) 7310200|21D01,23.41,,,
4.0,Xây dựng lực lượng CAND (Phía Nam - Nam) 7310200|22A01,22.24,,,
5.0,Xây dựng lực lượng CAND (Phía Bắc - Nữ) 7310200|11C03,24.94,,,
6.0,Xây dựng lực lượng CAND (Phía Bắc - Nam) 7310200|21A01,23.41,,,
7.0,Xây dựng lực lượng CAND (phía Nam - Nam) 7310200|22D01,22.24,,,
8.0,Xây dựng lực lượng CAND (phía Bắc - Nữ) 7310200|11C00,24.94,,,
9.0,Xây dựng lực lượng CAND (Phía Bắc - Nữ) 7310200|11D01,24.94,,,
10.0,Xây dựng lực lượng CAND (phía Nam - Nữ) 7310200|12C00,23.21,,,
11.0,Xây dựng lực lượng CAND (Phía Nam - Nữ) 7310200|12D01,23.21,,,
12.0,Xây dựng lực lượng CAND (phía Nam - Nam) 7310200|22C00,22.24,,,
13.0,Xây dựng lực lượng CAND (Phía Bắc - Nam) 7310200|21C03,23.41,,,
14.0,Xây dựng lực lượng CAND (Phía Bắc - Nữ) 7310200|11A01,24.94,,,
15.0,Xây dựng lực lượng CAND (Phía Nam - Nữ) 7310200|12A01,23.21,,,
16.0,Xây dựng lực lượng CAND (Phía Bắc - Nam) 7310200|21C00,23.41,,,
