STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Bảo vệ thực vật 7620112,,,,
2.0,Chăn nuôi 7620105,,,,
3.0,Công tác xã hội 7760101,,,,
4.0,Công nghệ sinh học 7420201,,,,
5.0,Công nghệ sau thu hoạch 7540104,,,,
6.0,Công nghệ kỹ thuật cơ điện tử 7510203,,,,
7.0,Công nghệ sinh học (chất lượng cao) 7420201A,,,,
8.0,Công nghệ chế biến lâm sản (Chất lượng cao) 7549001A,,,,
9.0,Công nghệ vật liệu 7510402,,,,
10.0,Công nghệ kỹ thuật ô tô 7510205,,,,
11.0,Hệ thống thông tin 7480104,,,,
12.0,Kế toán 7340301,,,,
13.0,Khoa học môi trường 7440301,,,,
14.0,Khoa học cây trồng 7620110,,,,
15.0,Khuyến nông 7620102,,,,
16.0,Kiến trúc cảnh quan 7580102,,,,
17.0,Kinh tế nông nghiệp 7620115,,,,
18.0,Kinh tế 7310101,,,,
19.0,Kỹ thuật cơ khí 7520103,,,,
20.0,Kỹ thuật xây dựng 7580201,,,,
21.0,Kỹ thuật cơ khí (chuyên ngành Kỹ thuật cơ khí) 7520103A,,,,
22.0,Lâm nghiệp (Tiếng Anh) 7620201A,,,,
23.0,Lâm học 7620201,,,,
24.0,Lâm sinh 7620205,,,,
25.0,Lâm nghiệp đô thị 7620202,,,,
26.0,Quản lý tài nguyên thiên nhiên (T. Việt) 72908532,,,,
27.0,Quản lý tài nguyên và môi trường 7850101,,,,
28.0,Quản trị dịch vụ du lịch và lữ hành 7810103,,,,
29.0,Quản lý tài nguyên thiên nhiên*(T.Anh) 72908532A,,,,
30.0,Quản lý tài nguyên rừng 7620211,,,,
31.0,Quản lý đất đai 7850103,,,,
32.0,Quản trị doanh nghiệp 7340101,,,,
33.0,Thiết kế nội thất 7580108,,,,
34.0,Thú y 7640101,,,,
