STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Khoa học Y sinh 7420204,20.6,,,
2.0,Khoa học và Kỹ thuật máy tính 7480204,20.7,,,
3.0,Khoa học Dữ liệu (Đặc thù) 7480205DT,23.6,,,
4.0,Quản trị và Kinh doanh Quốc tế 7340124,19.5,,,
