STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Nhóm ngành Kỹ thuật CAND (Thí sinh Nữ - Phía Nam) 7480200|12A01,20.37,,,
2.0,Thí sinh nam (Phía Nam) 7480200|22A00,17.75,,,
3.0,Thí sinh nữ (Phía Nam) 7480200|12A00,20.86,,,
4.0,Thí sinh nam (Phía Nam) 7480200|22A01,17.99,,,
