STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Luật (Nam - Phía Nam) 7380101|22D01,21.95,D01,,
2.0,Luật (Nữ - Phía Nam) 7380101|12A01,21.7,A01,,
3.0,Luật (Nữ - Phía Bắc) 7380101|11C00,28.2,C00,,
4.0,Luật (Nữ - Phía Nam) 7380101|12D01,23.75,D01,,
5.0,Luật (Nam - Phía Nam) 7380101|22A00,23.75,A00,,
6.0,Luật (Nam - Phía Bắc) 7380101|21D01,24.68,D01,,
7.0,Luật (Nam - Phía Bắc) 7380101|21A00,23.42,A00,,
8.0,Luật (Nữ - Phía Nam) 7380101|12C00,27.67,C00,,
9.0,Luật (Nữ - Phía Bắc) 7380101|11D01,25.32,D01,,
10.0,Luật (Nam - Phía Bắc) 7380101|21C00,28.1,C00,,
11.0,Luật (Nam - Phía Nam) 7380101|22C00,27.67,C00,,
12.0,Luật (Nữ - Phía Nam) 7380101|12A00,24.3,A00,,
13.0,Luật (Nữ - Phía Bắc) 7380101|11A01,22.85,A01,,
14.0,Luật (Nam - Phía Nam) 7380101|22A01,21.05,A01,,
15.0,Luật (Nữ - Phía Bắc) 7380101|11A00,24.49,A00,,
16.0,Luật (Nam - Phía Bắc) 7380101|21A01,22.7,A01,,
