STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Luật (Nữ - Phía Nam) 7380101|12A00,24.6,,,
2.0,Luật (Nữ - Phía Nam) 7380101|12C00,28.0,,,
3.0,Luật (Nữ - Phía Bắc) 7380101|11D01,25.05,,,
4.0,Luật (Nam - Phía Bắc) 7380101|21A00,24.3,,,
5.0,Luật (Nam - Phía Nam) 7380101|22A01,22.95,,,
6.0,Luật (Nam - Phía Bắc) 7380101|21C00,27.75,,,
7.0,Luật (Nữ - Phía Bắc) 7380101|11A00,24.95,,,
8.0,Luật (Nữ - Phía Nam) 7380101|12A01,23.8,,,
9.0,Luật (Nữ - Phía Nam) 7380101|12D01,23.4,,,
10.0,Luật (Nam - Phía Nam) 7380101|22A00,23.35,,,
11.0,Luật (Nam - Phía Bắc) 7380101|21A01,22.25,,,
12.0,Luật (Nam - Phía Nam) 7380101|22D01,22.1,,,
13.0,Luật (Nữ - Phía Bắc) 7380101|11C00,29.0,,,
14.0,Luật (Nam - Phía Nam) 7380101|22C00,26.5,,,
15.0,Luật (Nam - Phía Bắc) 7380101|21D01,23.85,,,
16.0,Luật (Nữ - Phía Bắc) 7380101|11A01,22.8,,,
