STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Luật (Nữ - Phía Nam) 7380101|12C00,25.5,,,
2.0,Luật (Nam - Phía Bắc) 7380101|21A00,22.1,,,
3.0,Luật (Nam - Phía Bắc) 7380101|21C00,26.25,,,
4.0,Luật (Nữ - Phía Bắc) 7380101|11D01,23.8,,,
5.0,Luật (Nam - Phía Nam) 7380101|22A01,21.4,,,
6.0,Luật (Nam - Phía Nam) 7380101|22D01,21.1,,,
7.0,Luật (Nữ - Phía Bắc) 7380101|11A00,24.15,,,
8.0,Luật (Nam - Phía Nam) 7380101|22A00,22.05,,,
9.0,Luật (Nữ - Phía Nam) 7380101|12D01,23.5,,,
10.0,Luật (Nam - Phía Bắc) 7380101|21D01,21.7,,,
11.0,Luật (Nữ - Phía Nam) 7380101|12A01,22.95,,,
12.0,Luật (Nam - Phía Bắc) 7380101|21A01,24.05,,,
13.0,Luật (Nữ - Phía Bắc) 7380101|11C00,27.25,,,
14.0,Luật (Nam - Phía Nam) 7380101|22C00,24.5,,,
15.0,Luật (Nữ - Phía Nam) 7380101|12A00,24.0,,,
16.0,Luật (Nữ - Phía Bắc) 7380101|11A01,23.7,,,
