STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Luật (Nữ - Phía Bắc) 7380101|11D01,23.15,,,
2.0,Luật (Nam - Phía Nam) 7380101|22C00,26.5,,,
3.0,Luật (Nam - Phía Bắc) 7380101|21D01,24.0,,,
4.0,Luật (Nữ - Phía Nam) 7380101|12A01,25.2,,,
5.0,Luật (Nam - Phía Bắc) 7380101|21A00,23.2,,,
6.0,Luật (Nữ - Phía Bắc) 7380101|11A01,23.5,,,
7.0,Luật (Nữ - Phía Nam) 7380101|12A00,24.25,,,
8.0,Luật (Nữ - Phía Bắc) 7380101|11A00,24.45,,,
9.0,Luật (Nữ - Phía Bắc) 7380101|11D01,26.2,,,
10.0,Luật (Nam - Phía Nam) 7380101|22A01,23.55,,,
11.0,Luật (Nữ - Phía Nam) 7380101|12D01,25.7,,,
12.0,Luật (Nam - Phía Bắc) 7380101|21C00,26.5,,,
13.0,Luật (Nam - Phía Nam) 7380101|22A00,24.25,,,
14.0,Luật (Nữ - Phía Nam) 7380101|12C00,27.25,,,
15.0,Luật (Nam - Phía Bắc) 7380101|21A01,23.9,,,
16.0,Luật (Nữ - Phía Bắc) 7380101|11C00,28.25,,,
