STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Ngành Chỉ huy tham mưu Đặc công (Thí sinh Nam miền Bắc) 7860207|21A01,24.15,,,
2.0,Ngành Chỉ huy tham mưu Đặc công (Thí sinh Nam miền Nam) 7860207|22A01,23.6,,,
3.0,Ngành Chỉ huy tham mưu Đặc công (Thí sinh Nam miền Nam) 7860207|22A00,23.6,,,
4.0,Ngành Chỉ huy tham mưu Đặc công (Thí sinh Nam miền Bắc) 7860207|21A00,24.15,,,
