STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Ngành phi công quân sự (Thí sinh nam toàn quốc) 7860203|20A01,17.0,,,
2.0,Ngành phi công quân sự (Thí sinh nam toàn quốc) 7860203|20A00,17.0,,,
