STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Kỹ thuật hàng không 7520120,26.75,,,"Thí sinh mức 26. 75 điểm: Tiêu chí phụ 1: Điểm môn Toán ≥ 9,40. Tiêu chí phụ 2: Điểm môn Lý ≥ 8. 00"
2.0,Ngành CHTM PK - KQ Thí sinh Nam miền Nam 7860226,25.0,,,Thí sinh mức 25.00 điểm: Tiêu chí phụ 1: Điểm môn Toán ≥ 8.40. Tiêu chí phụ 2: Điểm môn Lý ≥ 8.25
