STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,"Chỉ huy Tham mưu Phòng không, Không quân và Tác chiến điện tử (Nam - phía Nam) 7860226|22",23.9,,,
2.0,"Chỉ huy Tham mưu Phòng không, Không quân và Tác chiến điện tử (Nam - phía Bắc) 7860226|21",24.9,,,Toán >=8.4 Lý >=8.25
3.0,Kỹ thuật Hàng không (Nam - phía Nam) 7520120|22,26.1,,,Toán >=8.6 Lý >=8.25
4.0,Kỹ thuật Hàng không (Nam - phía Bắc) 7520120|21,23.3,,,
