STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Nghiệp vụ An ninh (Địa bàn 8 - Nữ) 7860100|13D01|8,16.15,,,
2.0,Nghiệp vụ An ninh (Địa bàn 3 - Nữ) 7860100|13D01|3,24.78,,,
3.0,Nghiệp vụ An ninh (Địa bàn 8 - Nam) 7860100|23D01|8,20.88,,,
4.0,Nghiệp vụ An ninh (Địa bàn 2 - Nữ) 7860100|13A00|2,23.55,,,
5.0,Nghiệp vụ An ninh (Địa bàn 8 - Nam) 7860100|23A00|8,20.88,,,
6.0,Nghiệp vụ An ninh (Địa bàn 2 - Nam) 7860100|23D01|2,20.68,,,
7.0,Nghiệp vụ An ninh (Địa bàn 1 - Nam) 7860100|23A00|1,19.53,,,
8.0,Nghiệp vụ An ninh (Địa bàn 8 - Nữ) 7860100|13C03|8,16.15,,,
9.0,Nghiệp vụ An ninh (Địa bàn 2 - Nữ) 7860100|13C03|2,23.55,,,
10.0,Nghiệp vụ An ninh (Địa bàn 8 - Nam) 7860100|23C03|8,20.88,,,
11.0,Nghiệp vụ An ninh (Địa bàn 1 - Nữ) 7860100|13A01|1,24.23,,,
12.0,Nghiệp vụ An ninh (Địa bàn 3 - Nam) 7860100|23A01|3,20.85,,,
13.0,Nghiệp vụ An ninh (Địa bàn 1 - Nam) 7860100|23C03|1,19.53,,,
14.0,Nghiệp vụ An ninh (Địa bàn 8 - Nữ) 7860100|13A01|8,16.15,,,
15.0,Nghiệp vụ An ninh (Địa bàn 8 - Nữ) 7860100|13A00|8,16.15,,,
16.0,Nghiệp vụ An ninh (Địa bàn 2 - Nữ) 7860100|13A01|2,23.55,,,
17.0,Nghiệp vụ An ninh (Địa bàn 1 - Nữ) 7860100|13A00|1,24.23,,,
18.0,Nghiệp vụ An ninh (Địa bàn 3 - Nam) 7860100|23A00|3,20.85,,,
19.0,Nghiệp vụ An ninh (Địa bàn 8 - Nam) 7860100|23A01|8,20.88,,,
20.0,Nghiệp vụ An ninh (Địa bàn 1 - Nam) 7860100|23A01|1,19.53,,,
21.0,Nghiệp vụ An ninh (Địa bàn 3 - Nữ) 7860100|13A00|3,24.78,,,
22.0,Nghiệp vụ An ninh (Địa bàn 3 - Nữ) 7860100|13C03|3,24.78,,,
23.0,Nghiệp vụ An ninh (Địa bàn 1 - Nữ) 7860100|13D01|1,24.23,,,
24.0,Nghiệp vụ An ninh (Địa bàn 3 - Nam) 7860100|23D01|3,20.85,,,
25.0,Nghiệp vụ An ninh (Địa bàn 2 - Nam) 7860100|23A00|2,20.68,,,
26.0,Nghiệp vụ An ninh (Địa bàn 2 - Nam) 7860100|23C03|2,20.68,,,
27.0,Nghiệp vụ An ninh (Địa bàn 2 - Nữ) 7860100|13D01|2,23.55,,,
28.0,Nghiệp vụ An ninh (Địa bàn 3 - Nữ) 7860100|13A01|3,24.78,,,
29.0,Nghiệp vụ An ninh (Địa bàn 1 - Nữ) 7860100|13C03|1,24.23,,,
30.0,Nghiệp vụ An ninh (Địa bàn 3 - Nam) 7860100|23C03|3,20.85,,,
31.0,Nghiệp vụ An ninh (Địa bàn 1 - Nam) 7860100|23D01|1,19.53,,,
32.0,Nghiệp vụ An ninh (Địa bàn 2 - Nam) 7860100|23A01|2,20.68,,,
