STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Nghiệp vụ An ninh (Địa bàn 8 - Nữ) 7860100|13C03|8,15.63,,,
2.0,Nghiệp vụ An ninh (Địa bàn 3 - Nữ) 7860100|13A01|3,24.52,,,
3.0,Nghiệp vụ An ninh (Địa bàn 1 - Nữ) 7860100|13C03|1,24.83,,,
4.0,Nghiệp vụ An ninh (Địa bàn 8 - Nam) 7860100|23A01|8,18.76,,,
5.0,Nghiệp vụ An ninh (Địa bàn 3 - Nam) 7860100|23D01|3,20.93,,,
6.0,Nghiệp vụ An ninh (Địa bàn 2 - Nam) 7860100|23C03|2,22.27,,,
7.0,Nghiệp vụ An ninh (Địa bàn 3 - Nữ) 7860100|13D01|3,23.43,,,
8.0,Nghiệp vụ An ninh (Địa bàn 2 - Nữ) 7860100|13A00|2,25.6,,,
9.0,Nghiệp vụ An ninh (Địa bàn 8 - Nam) 7860100|23D01|8,19.81,,,
10.0,Nghiệp vụ An ninh (Địa bàn 3 - Nam) 7860100|23A00|3,20.23,,,
11.0,Nghiệp vụ An ninh (Địa bàn 1 - Nam) 7860100|23D01|1,20.51,,,
12.0,Nghiệp vụ An ninh (Địa bàn 1 - Nam) 7860100|23A01|1,19.35,,,
13.0,Nghiệp vụ An ninh (Địa bàn 3 - Nữ) 7860100|13C03|3,24.46,,,
14.0,Nghiệp vụ An ninh (Địa bàn 1 - Nữ) 7860100|13D01|1,24.62,,,
15.0,Nghiệp vụ An ninh (Địa bàn 8 - Nam) 7860100|23C03|8,19.57,,,
16.0,Nghiệp vụ An ninh (Địa bàn 8 - Nam) 7860100|23A00|8,15.98,,,
17.0,Nghiệp vụ An ninh (Địa bàn 2 - Nam) 7860100|23D01|2,21.17,,,
18.0,Nghiệp vụ An ninh (Địa bàn 1 - Nam) 7860100|23A00|1,19.46,,,
19.0,Nghiệp vụ An ninh (Địa bàn 2 - Nữ) 7860100|13C03|2,24.64,,,
20.0,Nghiệp vụ An ninh (Địa bàn 3 - Nữ) 7860100|13A00|3,23.0,,,
21.0,Nghiệp vụ An ninh (Địa bàn 1 - Nữ) 7860100|13A01|1,24.73,,,
22.0,Nghiệp vụ An ninh (Địa bàn 3 - Nam) 7860100|23C03|3,21.33,,,
23.0,Nghiệp vụ An ninh (Địa bàn 2 - Nam) 7860100|23A01|2,21.04,,,
24.0,Nghiệp vụ An ninh (Địa bàn 2 - Nữ) 7860100|13D01|2,23.69,,,
25.0,Nghiệp vụ An ninh (Địa bàn 2 - Nữ) 7860100|13A01|2,24.78,,,
26.0,Nghiệp vụ An ninh (Địa bàn 1 - Nữ) 7860100|13A00|1,22.59,,,
27.0,Nghiệp vụ An ninh (Địa bàn 3 - Nam) 7860100|23A01|3,20.79,,,
28.0,Nghiệp vụ An ninh (Địa bàn 1 - Nam) 7860100|23C03|1,21.0,,,
29.0,Nghiệp vụ An ninh (Địa bàn 2 - Nam) 7860100|23A00|2,20.74,,,
