STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ thông tin 7480201,17.5,,,TO >= 5.4;TTNV <= 1
2.0,Công nghệ Kỹ thuật Giao thông 7510104,14.15,,,TO >= 5.4;TTNV <= 2
3.0,Công nghệ kỹ thuật điều khiển và tự động hóa 7510303,15.5,,,TO >= 6;TTNV <= 7
4.0,Công nghệ kỹ thuật Môi trường 7510406,14.0,,,TO >= 3.8;TTNV <= 4
5.0,Công nghệ kỹ thuật cơ điện tử 7510203,15.55,,,TO >= 4.8;TTNV <= 1
6.0,Công nghệ kỹ thuật nhiệt 7510206,14.05,,,TO >= 4.8;TTNV <= 3
7.0,Công nghệ vật liệu 7510402,14.35,,,TO >= 5.6;TTNV <= 2
8.0,Công nghệ kỹ thuật cơ khí (Chuyên ngành Công nghệ hàn) 7510201,15.5,,,TO >= 5;TTNV <= 1
9.0,Công nghệ kỹ thuật xây dựng 7510103,14.5,,,TO >= 6;TTNV <= 4
10.0,Công nghệ kỹ thuật ô tô 7510205,17.5,,,TO >= 5;TTNV <= 2
11.0,"Công nghệ kỹ thuật điện, điện tử 7510301",15.5,,,TO >= 5;TTNV <= 1
12.0,Điện tử - viễn thông 7510302,14.53,,,TO >= 5.2;TTNV <= 2
13.0,Kỹ thuật cơ sở hạ tầng 7580210,14.0,,,TO >= 5;TTNV <= 4
14.0,Kỹ thuật thực phẩm 7540102,14.0,,,TO >= 5;TTNV <= 3
15.0,Sinh học ứng dụng 7420203,14.4,,,TO >= 5.4;TTNV <= 1
16.0,Sư phạm Kỹ thuật công nghiệp 7140214,17.02,,,TO >= 4.6;TTNV <= 1
