STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,ĐT Trinh sát Kỹ thuật (Nam -Phía Bắc) 7860231|21A01,25.45,,,
2.0,ĐT Trinh sát Kỹ thuật (Nam - Phía Nam) 7860231|22A01,23.85,,,
3.0,ĐT Trinh sát Kỹ thuật (Nam -Phía Nam) 7860231|22A00,23.85,,,
4.0,ĐT Trinh sát Kỹ thuật (Nam - Phía Bắc) 7860231|21A00,25.45,,,
5.0,Ngôn ngữ Trung Quốc (Nữ) 7220204|10D04,28.25,,,
6.0,Ngôn ngữ Nga (Nam) 7220202|20D01,25.66,,,
7.0,Ngôn ngữ Nga (Nữ) 7220202|10D01,29.79,,,
8.0,Ngôn ngữ Nga (Nam) 7220202|20D02,25.66,,,
9.0,Ngôn ngữ Trung Quốc (Nam) 7220204|20D01,22.82,,,
10.0,Ngôn ngữ Trung Quốc 7220204|10D01,28.25,,,
11.0,Ngôn ngữ Anh (Nữ) 7220201|10D01,28.29,,,
12.0,Ngôn ngữ Nga (Nữ) 7220202|10D02,29.79,,,
13.0,Ngôn ngữ Trung Quốc (Nam) 7220204|20D04,22.82,,,
14.0,Ngôn ngữ Anh (Nam) 7220201|20D01,25.28,,,
15.0,Quan hệ quốc tếQuan hệ quốc tế (Nữ) 7310206|10D01,28.01,,,
16.0,Quan hệ quốc tế (Nam) 7310206|20D01,24.79,,,
