STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,ĐT Trinh sát Kỹ thuật (Nam -Phía Bắc) 7860231|21A01,25.1,,,
2.0,ĐT Trinh sát Kỹ thuật (Nam - Phía Bắc) 7860231|21A00,25.1,,,
3.0,ĐT Trinh sát Kỹ thuật (Nam - Phía Nam) 7860231|22A01,24.25,,,
4.0,ĐT Trinh sát Kỹ thuật (Nam -Phía Nam) 7860231|22A00,24.25,,,
5.0,Ngôn ngữ Trung Quốc (Nữ) 7220204|10D04,27.97,,,
6.0,Ngôn ngữ Nga (Nữ) 7220202|10D01,26.38,,,
7.0,Ngôn ngữ Trung Quốc (Nam) 7220204|20D01,27.43,,,
8.0,Ngôn ngữ Nga (Nữ) 7220202|10D02,26.38,,,
9.0,Ngôn ngữ Trung Quốc 7220204|10D01,27.97,,,
10.0,Ngôn ngữ Anh (Nữ) 7220201|10D01,27.46,,,
11.0,Ngôn ngữ Nga (Nam) 7220202|20D02,23.81,,,
12.0,Ngôn ngữ Trung Quốc (Nam) 7220204|20D04,27.43,,,
13.0,Ngôn ngữ Anh (Nam) 7220201|20D01,25.57,,,
14.0,Ngôn ngữ Nga (Nam) 7220202|20D01,23.81,,,
15.0,Quan hệ quốc tếQuan hệ quốc tế (Nữ) 7310206|10D01,27.97,,,
16.0,Quan hệ quốc tế (Nam) 7310206|20D01,26.17,,,
