STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,ĐT Trinh sát Kỹ thuật (Nam - Phía Bắc) 7860231|21A00,25.26,A00,,
2.0,ĐT Trinh sát Kỹ thuật (Nam -Phía Nam) 7860231|22A00,24.5,A00,,
3.0,ĐT Trinh sát Kỹ thuật (Nam -Phía Bắc) 7860231|21A01,25.26,A01,,
4.0,ĐT Trinh sát Kỹ thuật (Nam - Phía Nam) 7860231|22A01,24.5,A01,,
5.0,Ngôn ngữ Nga (Nữ) 7220202|10D02,27.17,D02,,
6.0,Ngôn ngữ Anh (Nam) 7220201|20D01,26.48,D01,,
7.0,Ngôn ngữ Nga (Nam) 7220202|20D01,25.88,D01,,
8.0,Ngôn ngữ Trung Quốc (Nam) 7220204|20D04,26.67,D04,,
9.0,Ngôn ngữ Trung Quốc (Nam) 7220204|20D01,26.67,D01,,
10.0,Ngôn ngữ Anh (Nữ) 7220201|10D01,27.54,D01,,
11.0,Ngôn ngữ Trung Quốc (Nữ) 7220204|10D04,28.22,D04,,
12.0,Ngôn ngữ Nga (Nữ) 7220202|10D01,27.17,D01,,
13.0,Ngôn ngữ Trung Quốc 7220204|10D01,28.22,D01,,
14.0,Ngôn ngữ Nga (Nam) 7220202|20D02,25.88,D02,,
15.0,Quan hệ quốc tếQuan hệ quốc tế (Nữ) 7310206|10D01,27.72,D01,,
16.0,Quan hệ quốc tế (Nam) 7310206|20D01,25.94,D01,,
