STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Thí sinh Nam 7860201_03,21.5,,,Nam - Quân khu 5 - A00; A01. TIÊU CHÍ 1: ĐIỂM MÔN TOÁN >= 8
2.0,Thí sinh Nam 7860201_01,21.6,,,Nam - Quân khu 9 - A00; A01. TIÊU CHÍ 1: ĐIỂM MÔN TOÁN >= 7.60 ĐIỂM. TIÊU CHÍ 2: MÔN VẬT LÝ >= 7.25 ĐIỂM
3.0,Thí sinh Nam 7860201_02,22.85,,,Nam - Quân khu 4 (Quảng Trị và Thừa Thiên Huế) - A00; A01
4.0,Thí sinh Nam 7860201_04,21.05,,,Nam - Quân khu 7 - A00; A01. TIÊU CHÍ 1: ĐIỂM MÔN TOÁN >= 7.8 ĐIỂM. TIÊU CHÍ 2: MÔN VẬT LÝ >= 6.75 ĐIỂM
