STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Chỉ huy tham mưu Lục quân (Nam - miền Bắc) 7860201|21A01,24.5,,,
2.0,Chỉ huy tham mưu Lục quân (Nam - miền Bắc) 7860201|21A00,24.5,,,
