STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Gửi đào tạo ngành Y 7860100|00B00,23.84,,,
2.0,Nghiệp vụ cảnh sát (Nam) 7860100|20A01,19.54,,,
3.0,Nghiệp vụ cảnh sát (Nam) 7860100|20D01,21.54,,,
4.0,Nghiệp vụ cảnh sát (Nữ) 7860100|10C03,26.06,,,
5.0,Nghiệp vụ cảnh sát (Nam) 7860100|20C03,20.06,,,
6.0,Nghiệp vụ cảnh sát (Nữ) 7860100|10A01,25.29,,,
7.0,Nghiệp vụ cảnh sát (Nữ) 7860100|10D01,25.21,,,
