STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Nghiệp vụ An ninh (Địa bàn 7 - Nam) 7860100|23A01|7,26.9,,,
2.0,Nghiệp vụ An ninh (Địa bàn 7 - Nữ) 7860100|13C03|7,27.84,,,
3.0,Nghiệp vụ An ninh (Địa bàn 8 - Nam) 7860100|23A00|8,23.04,,,
4.0,Nghiệp vụ An ninh (Địa bàn 4 - Nữ) 7860100|13C03|4,27.2,,,
5.0,Nghiệp vụ An ninh (Địa bàn 5 - Nam) 7860100|23D01|5,26.88,,,
6.0,Nghiệp vụ An ninh (Địa bàn 5 - Nữ) 7860100|13A01|5,27.91,,,
7.0,Nghiệp vụ An ninh (Địa bàn 6 - Nam) 7860100|23C03|6,24.38,,,
8.0,Nghiệp vụ An ninh (Địa bàn 7 - Nam) 7860100|23D01|7,26.48,,,
9.0,Nghiệp vụ An ninh (Địa bàn 8 - Nam) 7860100|23C03|8,22.41,,,
10.0,Nghiệp vụ An ninh (Địa bàn 4 - Nam) 7860100|23A00|4,24.86,,,
11.0,Nghiệp vụ An ninh (Địa bàn 4 - Nam) 7860100|23D01|4,25.89,,,
12.0,Nghiệp vụ An ninh (Địa bàn 5 - Nam) 7860100|23A00|5,25.68,,,
13.0,Nghiệp vụ An ninh (Địa bàn 5 - Nữ) 7860100|13D01|5,29.51,,,
14.0,Nghiệp vụ An ninh (Địa bàn 6 - Nữ) 7860100|13A00|6,25.68,,,
15.0,Nghiệp vụ An ninh (Địa bàn 6 - Nữ) 7860100|13C03|6,26.01,,,
16.0,Nghiệp vụ An ninh (Địa bàn 7 - Nam) 7860100|23C03|7,26.94,,,
17.0,Nghiệp vụ An ninh (Địa bàn 7 - Nữ) 7860100|13D01|7,28.69,,,
18.0,Nghiệp vụ An ninh (Địa bàn 8 - Nam) 7860100|23A01|8,25.76,,,
19.0,Nghiệp vụ An ninh (Địa bàn 4 - Nam) 7860100|23C03|4,25.21,,,
20.0,Nghiệp vụ An ninh (Địa bàn 4 - Nữ) 7860100|13D01|4,27.69,,,
21.0,Nghiệp vụ An ninh (Địa bàn 5 - Nữ) 7860100|13C03|5,27.94,,,
22.0,Nghiệp vụ An ninh (Địa bàn 6 - Nam) 7860100|23D01|6,24.56,,,
23.0,Nghiệp vụ An ninh (Địa bàn 7 - Nam) 7860100|23A00|7,25.83,,,
24.0,Nghiệp vụ An ninh (Địa bàn 7 - Nữ) 7860100|13A01|7,28.14,,,
25.0,Nghiệp vụ An ninh (Địa bàn 4 - Nữ) 7860100|13A01|4,27.63,,,
26.0,Nghiệp vụ An ninh (Địa bàn 5 - Nam) 7860100|23C03|5,26.53,,,
27.0,Nghiệp vụ An ninh (Địa bàn 5 - Nữ) 7860100|13A00|5,28.5,,,
28.0,Nghiệp vụ An ninh (Địa bàn 6 - Nam) 7860100|23A01|6,24.93,,,
29.0,Nghiệp vụ An ninh (Địa bàn 7 - Nữ) 7860100|13A00|7,27.49,,,
30.0,Nghiệp vụ An ninh (Địa bàn 4 - Nam) 7860100|23A01|4,26.11,,,
31.0,Nghiệp vụ An ninh (Địa bàn 4 - Nữ) 7860100|13A00|4,27.35,,,
32.0,Nghiệp vụ An ninh (Địa bàn 5 - Nam) 7860100|23A01|5,26.36,,,
33.0,Nghiệp vụ An ninh (Địa bàn 6 - Nam) 7860100|23A00|6,24.01,,,
34.0,Nghiệp vụ An ninh (Địa bàn 6 - Nữ) 7860100|13A01|6,27.33,,,
35.0,Nghiệp vụ An ninh (Địa bàn 6 - Nữ) 7860100|13D01|6,26.78,,,
