STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Nghiệp vụ An ninh (Địa bàn 8 - Nam) 7860100|23A01|8,19.52,,,
2.0,Nghiệp vụ An ninh (Địa bàn 5 - Nữ) 7860100|13A01|5,22.82,,,
3.0,Nghiệp vụ An ninh (Địa bàn 6 - Nữ) 7860100|13C03|6,22.09,,,
4.0,Nghiệp vụ An ninh (Địa bàn 6 - Nam) 7860100|23D01|6,18.27,,,
5.0,Nghiệp vụ An ninh (Địa bàn 7 - Nữ) 7860100|13A00|7,22.74,,,
6.0,Nghiệp vụ An ninh (Địa bàn 7 - Nam) 7860100|23A01|7,20.26,,,
7.0,Nghiệp vụ An ninh (Địa bàn 6 - Nam) 7860100|23A00|6,14.69,,,
8.0,Nghiệp vụ An ninh (Địa bàn 4 - Nữ) 7860100|13D01|4,23.79,,,
9.0,Nghiệp vụ An ninh (Địa bàn 6 - Nữ) 7860100|13D01|6,21.45,,,
10.0,Nghiệp vụ An ninh (Địa bàn 7 - Nữ) 7860100|13A01|7,24.35,,,
11.0,Nghiệp vụ An ninh (Địa bàn 4 - Nữ) 7860100|13A00|4,21.23,,,
12.0,Nghiệp vụ An ninh (Địa bàn 5 - Nam) 7860100|23C03|5,19.97,,,
13.0,Nghiệp vụ An ninh (Địa bàn 7 - Nam) 7860100|23C03|7,21.6,,,
14.0,Nghiệp vụ An ninh (Địa bàn 4 - Nam) 7860100|23A01|4,17.91,,,
15.0,Nghiệp vụ An ninh (Địa bàn 8 - Nam) 7860100|23C03|8,19.87,,,
16.0,Nghiệp vụ An ninh (Địa bàn 6 - Nữ) 7860100|13A01|6,22.36,,,
17.0,Nghiệp vụ An ninh (Địa bàn 7 - Nữ) 7860100|13C03|7,22.25,,,
18.0,Nghiệp vụ An ninh (Địa bàn 7 - Nam) 7860100|23D01|7,20.87,,,
19.0,Nghiệp vụ An ninh (Địa bàn 4 - Nam) 7860100|23C03|4,20.59,,,
20.0,Nghiệp vụ An ninh (Địa bàn 6 - Nam) 7860100|23C03|6,18.81,,,
21.0,Nghiệp vụ An ninh (Địa bàn 7 - Nam) 7860100|23A00|7,19.86,,,
22.0,Nghiệp vụ An ninh (Địa bàn 8 - Nam) 7860100|23A00|8,15.98,,,
23.0,Nghiệp vụ An ninh (Địa bàn 4 - Nữ) 7860100|13A01|4,23.3,,,
24.0,Nghiệp vụ An ninh (Địa bàn 5 - Nữ) 7860100|13C03|5,23.35,,,
25.0,Nghiệp vụ An ninh (Địa bàn 6 - Nữ) 7860100|13A00|6,19.65,,,
26.0,Nghiệp vụ An ninh (Địa bàn 5 - Nam) 7860100|23D01|5,21.07,,,
27.0,Nghiệp vụ An ninh (Địa bàn 5 - Nam) 7860100|23A00|5,18.9,,,
28.0,Nghiệp vụ An ninh (Địa bàn 6 - Nam) 7860100|23A01|6,14.92,,,
29.0,Nghiệp vụ An ninh (Địa bàn 5 - Nữ) 7860100|13D01|5,23.38,,,
30.0,Nghiệp vụ An ninh (Địa bàn 7 - Nữ) 7860100|13D01|7,24.41,,,
31.0,Nghiệp vụ An ninh (Địa bàn 4 - Nữ) 7860100|13C03|4,23.4,,,
32.0,Nghiệp vụ An ninh (Địa bàn 5 - Nữ) 7860100|13A00|5,22.25,,,
33.0,Nghiệp vụ An ninh (Địa bàn 4 - Nam) 7860100|23D01|4,18.29,,,
34.0,Nghiệp vụ An ninh (Địa bàn 5 - Nam) 7860100|23A01|5,19.87,,,
35.0,Nghiệp vụ An ninh (Địa bàn 4 - Nam) 7860100|23A00|4,18.3,,,
