STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Nhóm ngành Kỹ thuật CAND (Thí sinh Nữ - Phía Bắc) 7480200|11A01,24.74,,,
2.0,Thí sinh nam (Phía Bắc) 7480200|21A00,19.5,,,
3.0,Thí sinh nữ (Phía Bắc) 7480200|11A00,21.84,,,
4.0,Thí sinh nam (Phía Bắc) 7480200|21A01,19.3,,,
