STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Kinh tế quốc tế 7310106,22.9,,,Tiêu chí phụ 1:Toán: 7.4; Tiêu chí phụ 2:NV1-NV3
2.0,Luật quốc tế 7380108,21.95,,,Tiêu chí phụ 1:Tiếng Anh: 6.8; Tiêu chí phụ 2:NV1-NV9
3.0,Ngôn ngữ Anh 7220201,30.5,,,Tiêu chí phụ 1:Tiếng Anh: 9.2; Tiêu chí phụ 2:NV1-NV4
4.0,Quan hệ quốc tế 7310206,23.1,,,Tiêu chí phụ 1: Tiếng Anh: 7.6; Tiêu chí phụ 2:NV1-NV3
5.0,Truyền thông quốc tế 7320107,23.4,,,Tiêu chí phụ 1:Tiếng Anh: 9.4; Tiêu chí phụ 2:NV1-NV3
