STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ thông tin 7480201,23.0,,,TO >=7; TTNV <=2
2.0,Công nghệ thông tin (chuyên ngành Khoa học dữ liệu và Trí tuệ nhân tạo) 7480201DS,21.05,,,TO >=7.8; TTNV <=2
3.0,Công nghệ thông tin (chuyên ngành Thiết kế Mỹ thuật số) 7480201DA,21.5,,,TO >=7; TTNV <=4
4.0,Công nghệ kỹ thuật máy tính 7480108,20.0,,,TO >=7.6; TTNV <=1
5.0,Quản trị kinh doanh (chuyên ngành Quản trị Logistics và chuỗi cung ứng số) 7340101EL,23.0,,,TO >=6.8; TTNV <=1
6.0,Quản trị doanh nghiệp 7340101,22.5,,,TO >=7; TTNV <=3
7.0,Quản trị kinh doanh (chuyên ngành Quản trị dịch vụ du lịch và lữ hành số) 7340101ET,20.5,,,TO >=7; TTNV <=2
