STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Ngành Xây dựng Đảng và chính quyền Nhà nước (Nam - Phía Bắc) 7310202|21C00,28.5,,,Văn >=7.5 Sử >=9
2.0,Ngành Xây dựng Đảng và chính quyền Nhà nước (Nam - Phía Bắc) 7310202|21A00,25.05,,,Toán >=8.8 Lý >=8
3.0,Ngành Xây dựng Đảng và chính quyền Nhà nước (Nam - Phía Bắc) 7310202|21D01,25.4,,,
4.0,Ngành Xây dựng Đảng và chính quyền Nhà nước (Nam - Phía Nam) 7310202|22C00,27.0,,,Văn >=7.25 Sử>=9.5
5.0,Ngành Xây dựng Đảng và chính quyền Nhà nước (Nam - Phía Nam) 7310202|22A00,23.0,,,
6.0,Ngành Xây dựng Đảng và chính quyền Nhà nước (Nam - Phía Nam) 7310202|22D01,23.1,,,
