STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Chỉ huy tham mưu Hải quân (Nam - Phía Bắc) 7860202|21A01,24.21,A01,,
2.0,Chỉ huy tham mưu Hải quân (Nam - Phía Bắc) 7860202|21A00,24.21,A00,,
3.0,Chỉ huy tham mưu Hải quân (Nam - Phía Nam) 7860202|22A01,20.6,A01,,
4.0,Chỉ huy tham mưu Hải quân (Nam - Phía Nam) 7860202|22A00,20.6,A00,,
