STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Chỉ huy tham mưu hải quân (Nam - phía Nam) 7860202|22,23.35,,,Toán >=8.6
2.0,Chỉ huy tham mưu hải quân (Nam - phía Bắc) 7860202|21,24.55,,,
