STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ thông tin 7480201,13.0,,,tổng điểm tổ hợp 3 môn xét tuyển là 16.00 điểm; hoặc điểm trung bình chung các môn học lớp 12 là 5.5 điểm
2.0,Công nghệ kỹ thuật xây dựng 7510103,13.0,,,tổng điểm tổ hợp 3 môn xét tuyển là 16.00 điểm; hoặc điểm trung bình chung các môn học lớp 12 là 5.5 điểm
3.0,Kế toán 7340301,13.0,,,tổng điểm tổ hợp 3 môn xét tuyển là 16.00 điểm; hoặc điểm trung bình chung các môn học lớp 12 là 5.5 điểm
4.0,Kinh tế nông nghiệp 7620115,13.0,,,tổng điểm tổ hợp 3 môn xét tuyển là 16.00 điểm; hoặc điểm trung bình chung các môn học lớp 12 là 5.5 điểm
5.0,Kinh tế 7310101,13.0,,,tổng điểm tổ hợp 3 môn xét tuyển là 16.00 điểm; hoặc điểm trung bình chung các môn học lớp 12 là 5.5 điểm
6.0,Ngôn ngữ Anh 7220201,13.0,,,tổng điểm tổ hợp 3 môn xét tuyển là 16.00 điểm; hoặc điểm trung bình chung các môn học lớp 12 là 5.5 điểm
7.0,Quản trị doanh nghiệp 7340101,13.0,,,tổng điểm tổ hợp 3 môn xét tuyển là 16.00 điểm; hoặc điểm trung bình chung các môn học lớp 12 là 5.5 điểm
8.0,Tài chính – Ngân hàng 7340201,13.0,,,tổng điểm tổ hợp 3 môn xét tuyển là 16.00 điểm; hoặc điểm trung bình chung các môn học lớp 12 là 5.5 điểm
