STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Dược học - Nữ thí sinh phía Bắc 7720201|11A00,27.28,A00,,
2.0,Dược học - Nam thí sinh phía Nam 7720201|22A00,24.56,A00,,
3.0,Dược học - Nam thí sinh phía Bắc 7720201|21A00,25.19,A00,,
4.0,Dược học - Nữ thí sinh phía Nam 7720201|12A00,26.26,A00,,
5.0,Y khoa (Nam - Miền Bắc) 7720101|21A00,26.13,A00,,
6.0,Y khoa (Nữ - Miền Bắc) 7720101|11A00,27.49,A00,,
7.0,Y khoa (Nữ - Miền Nam) 7720101|12B00,27.34,B00,,
8.0,Y khoa (Nam - Miền Nam) 7720101|22B00,25.75,B00,,
9.0,Y khoa (Nữ - Miền Bắc) 7720101|11B00,27.49,B00,,
10.0,Y khoa (Nữ - Miền Nam) 7720101|12A00,27.34,A00,,
11.0,Y khoa (Nam - Miền Bắc) 7720101|21B00,26.13,B00,,
12.0,Y học dự phòng (Nam - Miền Nam) 7720110|22B00,24.12,B00,,
13.0,Y học dự phòng (Nam - Miền Bắc) 7720110|21B00,24.35,B00,,
14.0,Y khoa (Nam - Miền Nam) 7720101|22A00,25.75,A00,,
